ageband,imc,height,weight,hasSportHistoric,hasWalkingHistoric,gender,avgalt,dist,altDiff,currSpd,avgSpd,accumSub,accumDesc,totDist,modal,load,diffic
1,21.798202394816204,183,73,1,1,0,345.45,7.1281633,0.8999999999999773,1.3218067,0.6287879,540,112,679,0,1,0
1,21.798202394816204,183,73,1,1,0,346.1,5.4618664,0.4000000000000341,0.94914776,0.62406015,545,112,684,0,1,0
1,21.798202394816204,183,73,1,1,0,346.4,6.1946054,0.19999999999998863,1.2708491,0.6268657,551,112,690,0,1,0
1,21.798202394816204,183,73,1,1,0,346.8,5.6880164,0.6000000000000227,1.05621,0.6296296,556,112,695,0,1,0
1,21.798202394816204,183,73,1,1,0,347.1,5.356046,0,1.0551805,0.63235295,556,112,700,0,1,0
1,21.798202394816204,183,73,1,1,0,347.1,4.9017763,0,0.8760572,0.6277372,556,112,704,0,1,0
1,21.798202394816204,183,73,1,1,0,348,5.9982634,1.7999999999999545,0.9872372,0.6231884,561,112,709,0,1,0
1,21.798202394816204,183,73,1,1,0,348.85,5.8935533,-0.0999999999999659,1.059813,0.62589926,561,117,714,0,1,0
1,21.798202394816204,183,73,1,1,0,348.9,5.6878777,0.19999999999998863,1.1164325,0.62857145,566,117,719,0,1,0
1,21.798202394816204,183,73,1,1,0,349.65,6.0375915,1.3000000000000114,1.1241534,0.6312057,572,117,725,0,1,0
1,21.798202394816204,183,73,1,1,0,350.6,6.2461004,0.5999999999999659,1.1643016,0.63380283,578,117,731,0,1,0
1,21.798202394816204,183,73,1,1,0,351.35,5.8100615,0.9000000000000341,1.2255536,0.6363636,583,117,736,0,1,0
1,21.798202394816204,183,73,1,1,0,352.6,6.568618,1.599999999999966,1.2832025,0.6388889,589,117,742,0,1,0
1,21.798202394816204,183,73,1,1,0,354.4,6.322915,2,1.2142297,0.6413793,595,117,748,0,1,0
1,21.798202394816204,183,73,1,1,0,355.5,5.591491,0.20000000000004547,1.0788578,0.6438356,600,117,753,0,1,0
1,21.798202394816204,183,73,1,1,0,356.6,5.0461025,2,0.7015664,0.6394558,605,117,758,0,1,0
1,21.798202394816204,183,73,1,1,0,359.1,8.334334,3,1.1462864,0.6418919,613,117,766,0,1,0
